,Original index,pm-Containers.pLMN-Identity,list-of-matched-UEs.ueId,cellObjectID,timestamp,list-of-matched-UEs.pmType,pm-Containers.QCI,pm-Containers.dl-PRBUsage,pm-Containers.ul-PRBUsage,pm-Containers.dl-TotalofAvailablePRBs,pm-Containers.ul-TotalofAvailablePRBs,pm-Containers.nRCGI.nRCellIdentity,list-of-matched-UEs.pmVal,Test ID
36,200,b'111',b'00007',1112,1700747160.9292078,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1184.0,4
37,201,b'111',b'00006',1112,1700747160.9292078,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',708.0,4
38,202,b'111',b'00004',1112,1700747160.9292078,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',549.0,4
39,203,b'111',b'00009',1112,1700747160.9292078,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',787.0,4
40,216,b'111',b'00002',1115,1700747160.985512,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',6837.0,4
41,217,b'111',b'00003',1115,1700747160.985512,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',325.0,4
42,218,b'111',b'00001',1115,1700747160.985512,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1295.0,4
43,219,b'111',b'00010',1115,1700747160.985512,DRB.UEThpDl.UEID,-1.0,81.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',14440.0,4
44,255,b'111',b'00007',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',1161.0,4
45,256,b'111',b'00012',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',2815.0,4
46,257,b'111',b'00005',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',5717.0,4
47,258,b'111',b'00011',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',4145.0,4
48,259,b'111',b'00006',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',584.0,4
49,260,b'111',b'00009',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',678.0,4
50,261,b'111',b'00003',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',355.0,4
51,262,b'111',b'00004',1112,1700747189.260674,DRB.UEThpDl.UEID,-1.0,73.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',511.0,4
52,272,b'111',b'00010',1115,1700747189.3098128,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',14440.0,4
53,273,b'111',b'00001',1115,1700747189.3098128,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',1452.0,4
54,274,b'111',b'00002',1115,1700747189.3098128,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xbb\xf0',6973.0,4
55,307,b'111',b'00009',1112,1700747217.608521,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',636.0,4
56,308,b'111',b'00004',1112,1700747217.608521,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',543.0,4
57,309,b'111',b'00005',1112,1700747217.608521,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xbb\xf0',5386.0,4
