,Original index,pm-Containers.drbqci,pm-Containers.pDCPBytesDL,pm-Containers.pDCPBytesUL,pm-Containers.pLMN-Identity,pm-Containers.interface-type,list-of-matched-UEs.ueId,timestamp,Test ID
66,330,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747241.8091922,4
67,331,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747241.8091922,4
68,332,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747241.8091922,4
69,333,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747241.8091922,4
70,334,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747241.8091922,4
71,335,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747241.8091922,4
72,336,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747241.8091922,4
73,337,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747241.819332,4
74,338,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747241.8286362,4
75,339,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747241.8286362,4
76,340,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747241.8286362,4
77,385,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747270.1603034,4
78,386,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747270.1603034,4
79,387,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747270.1603034,4
80,388,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747270.1603034,4
81,389,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747270.1603034,4
82,390,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747270.1603034,4
83,391,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747270.1603034,4
84,392,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747270.1603034,4
85,393,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747270.182218,4
86,394,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747270.182218,4
87,395,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747270.182218,4
88,440,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747294.5068316,4
89,441,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747294.5068316,4
90,442,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747294.5068316,4
91,443,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747294.5068316,4
92,444,0.0,0.0,0.0,b'111',x2-u,b'00004',1700747294.5068316,4
93,445,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747294.5068316,4
94,446,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747294.5183806,4
95,447,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747294.529045,4
96,448,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747294.529045,4
97,449,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747294.529045,4
98,450,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747294.529045,4
99,495,0.0,0.0,0.0,b'111',x2-u,b'00009',1700747322.893963,4
100,496,0.0,0.0,0.0,b'111',x2-u,b'00003',1700747322.893963,4
101,497,0.0,0.0,0.0,b'111',x2-u,b'00010',1700747322.893963,4
102,498,0.0,0.0,0.0,b'111',x2-u,b'00007',1700747322.893963,4
103,499,0.0,0.0,0.0,b'111',x2-u,b'00012',1700747322.893963,4
104,500,0.0,0.0,0.0,b'111',x2-u,b'00006',1700747322.893963,4
105,501,0.0,0.0,0.0,b'111',x2-u,b'00011',1700747322.893963,4
106,502,0.0,0.0,0.0,b'111',x2-u,b'00005',1700747322.904622,4
107,503,0.0,0.0,0.0,b'111',x2-u,b'00001',1700747322.904622,4
108,504,0.0,0.0,0.0,b'111',x2-u,b'00002',1700747322.9147904,4
