,Original index,list-of-matched-UEs.ueId,cellObjectID,timestamp,pm-Containers.numberOfActive-UEs,list-of-matched-UEs.rrcEvent,list-of-matched-UEs.pmType,list-of-matched-UEs.measResultNeighCells.resultsSSB-Cell.sinr,list-of-matched-UEs.measResultNeighCells.physCellId,Test ID
41,74,b'00006',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
42,75,b'00007',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,4.0,4
43,76,b'00007',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
44,77,b'00007',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
45,78,b'00005',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
46,79,b'00005',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,5.0,4
47,80,b'00005',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
48,81,b'00009',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,4.0,4
49,82,b'00009',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,3.0,4
50,83,b'00009',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
51,90,b'00002',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,3.0,4
52,91,b'00002',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,8.0,2.0,4
53,92,b'00002',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,4
54,93,b'00010',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,4.0,4
55,94,b'00010',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,2.0,4
56,95,b'00010',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
57,96,b'00003',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,46.0,2.0,4
58,97,b'00003',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,3.0,4
59,98,b'00003',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
60,99,b'00012',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,4
61,100,b'00012',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
62,101,b'00012',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
63,102,b'00001',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
64,103,b'00001',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,2.0,4
65,104,b'00001',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,10.0,4.0,4
66,121,b'00004',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,49.0,5.0,4
67,122,b'00004',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,4
68,123,b'00004',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
69,124,b'00007',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,62.0,4.0,4
70,125,b'00007',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
71,126,b'00007',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
72,127,b'00012',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,42.0,5.0,4
73,128,b'00012',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,3.0,4
74,129,b'00012',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
75,130,b'00005',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,3.0,4
76,131,b'00005',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,5.0,4
77,132,b'00005',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
78,133,b'00006',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,5.0,4
79,134,b'00006',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
80,135,b'00006',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
81,136,b'00009',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,4.0,4
82,137,b'00009',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,3.0,4
83,138,b'00009',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
84,139,b'00011',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,3.0,4
85,140,b'00011',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,5.0,4
86,141,b'00011',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,4
87,149,b'00010',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,4.0,4
88,150,b'00010',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,2.0,4
89,151,b'00010',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
90,152,b'00003',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,2.0,4
91,153,b'00003',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,32.0,3.0,4
92,154,b'00003',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,4
93,155,b'00002',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,26.0,3.0,4
94,156,b'00002',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,13.0,2.0,4
95,157,b'00002',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
96,158,b'00001',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
97,159,b'00001',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,19.0,2.0,4
98,160,b'00001',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
