,Original index,list-of-matched-UEs.ueId,cellObjectID,timestamp,pm-Containers.numberOfActive-UEs,list-of-matched-UEs.rrcEvent,list-of-matched-UEs.pmType,list-of-matched-UEs.measResultNeighCells.resultsSSB-Cell.sinr,list-of-matched-UEs.measResultNeighCells.physCellId,Test ID
1059,702,b'00010',NRCellCU,1700746737.7777216,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,19.0,4.0,3
1060,703,b'00001',NRCellCU,1700746737.7777216,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,43.0,5.0,3
1061,704,b'00001',NRCellCU,1700746737.7777216,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,2.0,3
1062,705,b'00001',NRCellCU,1700746737.7777216,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,3
1063,709,b'00007',NRCellCU,1700746737.8138592,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,2.0,3
1064,710,b'00007',NRCellCU,1700746737.8138592,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1065,711,b'00007',NRCellCU,1700746737.8138592,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,3
1066,724,b'00003',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,42.0,2.0,3
1067,725,b'00003',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,3.0,3
1068,726,b'00003',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,3
1069,727,b'00004',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,50.0,2.0,3
1070,728,b'00004',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1071,729,b'00004',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1072,730,b'00002',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,26.0,3.0,3
1073,731,b'00002',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,4.0,3
1074,732,b'00002',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,2.0,3
1075,733,b'00010',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,4.0,3
1076,734,b'00010',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,2.0,3
1077,735,b'00010',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,3.0,3
1078,736,b'00001',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,3.0,3
1079,737,b'00001',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,2.0,3
1080,738,b'00001',NRCellCU,1700746762.07868,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1081,744,b'00012',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,3
1082,745,b'00012',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,5.0,3
1083,746,b'00012',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,3
1084,747,b'00006',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,5.0,3
1085,748,b'00006',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1086,749,b'00006',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1087,750,b'00005',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,3.0,3
1088,751,b'00005',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,5.0,3
1089,752,b'00005',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1090,753,b'00011',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,3.0,3
1091,754,b'00011',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,5.0,3
1092,755,b'00011',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1093,756,b'00009',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,32.0,3.0,3
1094,757,b'00009',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,8.0,5.0,3
1095,758,b'00009',NRCellCU,1700746762.172178,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,3
1096,764,b'00007',NRCellCU,1700746762.20763,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,2.0,3
1097,765,b'00007',NRCellCU,1700746762.20763,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,3.0,3
1098,766,b'00007',NRCellCU,1700746762.20763,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,3
1099,779,b'00004',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,48.0,2.0,3
1100,780,b'00004',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1101,781,b'00004',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1102,782,b'00002',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,3
1103,783,b'00002',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,8.0,2.0,3
1104,784,b'00002',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,5.0,4.0,3
1105,785,b'00010',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,3.0,3
1106,786,b'00010',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,4.0,3
1107,787,b'00010',NRCellCU,1700746790.4884918,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,2.0,3
1108,791,b'00005',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,3
1109,792,b'00005',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,5.0,3
1110,793,b'00005',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1111,794,b'00012',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,32.0,3.0,3
1112,795,b'00012',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,5.0,3
1113,796,b'00012',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1114,797,b'00003',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,41.0,3.0,3
1115,798,b'00003',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,5.0,3
1116,799,b'00003',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,3
1117,800,b'00006',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,5.0,3
1118,801,b'00006',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1119,802,b'00006',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1120,803,b'00009',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,3
1121,804,b'00009',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,5.0,3
1122,805,b'00009',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,8.0,4.0,3
1123,806,b'00011',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,3.0,3
1124,807,b'00011',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,26.0,5.0,3
1125,808,b'00011',NRCellCU,1700746790.5683732,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1126,815,b'00001',NRCellCU,1700746790.6093202,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,5.0,3
1127,816,b'00001',NRCellCU,1700746790.6093202,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,27.0,2.0,3
1128,817,b'00001',NRCellCU,1700746790.6093202,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,4.0,3
1129,819,b'00007',NRCellCU,1700746790.6461616,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,2.0,3
1130,820,b'00007',NRCellCU,1700746790.6461616,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,3.0,3
1131,821,b'00007',NRCellCU,1700746790.6461616,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,3
1132,835,b'00004',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,44.0,2.0,3
1133,836,b'00004',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1134,837,b'00004',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1135,838,b'00010',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,4.0,3
1136,839,b'00010',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,3.0,3
1137,840,b'00010',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,2.0,3
1138,841,b'00002',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,3.0,3
1139,842,b'00002',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,2.0,3
1140,843,b'00002',NRCellCU,1700746818.931563,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,3
1141,847,b'00009',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,3.0,3
1142,848,b'00009',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,10.0,5.0,3
1143,849,b'00009',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,4.0,3
1144,850,b'00003',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,5.0,3
1145,851,b'00003',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,33.0,3.0,3
1146,852,b'00003',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,10.0,4.0,3
1147,853,b'00012',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,3.0,3
1148,854,b'00012',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,5.0,3
1149,855,b'00012',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,3
1150,856,b'00011',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,3.0,3
1151,857,b'00011',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,5.0,3
1152,858,b'00011',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,3
1153,859,b'00006',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,5.0,3
1154,860,b'00006',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1155,861,b'00006',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1156,862,b'00005',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,27.0,3.0,3
1157,863,b'00005',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,5.0,3
1158,864,b'00005',NRCellCU,1700746819.011189,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1159,871,b'00001',NRCellCU,1700746819.060118,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,5.0,3
1160,872,b'00001',NRCellCU,1700746819.060118,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,2.0,3
1161,873,b'00001',NRCellCU,1700746819.060118,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,8.0,4.0,3
1162,874,b'00003',NRCellCU,1700746819.060118,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,2.0,3
1163,875,b'00003',NRCellCU,1700746819.060118,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,5.0,3
1164,876,b'00003',NRCellCU,1700746819.060118,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,10.0,4.0,3
1165,879,b'00007',NRCellCU,1700746819.095748,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,2.0,3
1166,880,b'00007',NRCellCU,1700746819.095748,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,3.0,3
1167,881,b'00007',NRCellCU,1700746819.095748,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,3
1168,895,b'00002',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,41.0,3.0,3
1169,896,b'00002',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,2.0,3
1170,897,b'00002',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1171,898,b'00004',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,3
1172,899,b'00004',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1173,900,b'00004',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1174,901,b'00008',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,2.0,3
1175,902,b'00008',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,4.0,3
1176,903,b'00008',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,3.0,3
1177,904,b'00010',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,4.0,3
1178,905,b'00010',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,3.0,3
1179,906,b'00010',NRCellCU,1700746847.410746,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,2.0,3
1180,911,b'00001',NRCellCU,1700746847.4600308,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,2.0,3
1181,912,b'00001',NRCellCU,1700746847.4600308,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,5.0,3
1182,913,b'00001',NRCellCU,1700746847.4600308,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,4.0,3
1183,914,b'00003',NRCellCU,1700746847.4600308,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,2.0,3
1184,915,b'00003',NRCellCU,1700746847.4600308,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,5.0,3
1185,916,b'00003',NRCellCU,1700746847.4600308,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,3
1186,919,b'00012',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,48.0,5.0,3
1187,920,b'00012',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,3
1188,921,b'00012',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1189,922,b'00005',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,33.0,3.0,3
1190,923,b'00005',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,13.0,5.0,3
1191,924,b'00005',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1192,925,b'00006',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,27.0,5.0,3
1193,926,b'00006',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1194,927,b'00006',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1195,928,b'00011',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,33.0,3.0,3
1196,929,b'00011',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,5.0,3
1197,930,b'00011',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,3
1198,931,b'00009',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,43.0,3.0,3
1199,932,b'00009',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,4.0,3
1200,933,b'00009',NRCellCU,1700746847.5326445,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,13.0,5.0,3
1201,939,b'00007',NRCellCU,1700746847.572826,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,2.0,3
1202,940,b'00007',NRCellCU,1700746847.572826,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,3.0,3
1203,941,b'00007',NRCellCU,1700746847.572826,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,3
1204,955,b'00010',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,4.0,3
1205,956,b'00010',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,3.0,3
1206,957,b'00010',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,2.0,3
1207,958,b'00004',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,43.0,2.0,3
1208,959,b'00004',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1209,960,b'00004',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1210,961,b'00002',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,3.0,3
1211,962,b'00002',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,2.0,3
1212,963,b'00002',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,3
1213,964,b'00008',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,2.0,3
1214,965,b'00008',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,4.0,3
1215,966,b'00008',NRCellCU,1700746875.8547158,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,3.0,3
1216,971,b'00005',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,3
1217,972,b'00005',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,5.0,3
1218,973,b'00005',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1219,974,b'00009',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,3.0,3
1220,975,b'00009',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,5.0,3
1221,976,b'00009',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,4.0,3
1222,977,b'00012',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,3.0,3
1223,978,b'00012',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,5.0,3
1224,979,b'00012',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,3
1225,980,b'00011',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,5.0,3
1226,981,b'00011',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,3.0,3
1227,982,b'00011',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,3
1228,983,b'00006',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,5.0,3
1229,984,b'00006',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1230,985,b'00006',NRCellCU,1700746875.9271655,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1231,991,b'00001',NRCellCU,1700746875.9787674,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,3
1232,992,b'00001',NRCellCU,1700746875.9787674,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,5.0,3
1233,993,b'00001',NRCellCU,1700746875.9787674,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,4.0,3
1234,994,b'00003',NRCellCU,1700746875.9787674,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,44.0,2.0,3
1235,995,b'00003',NRCellCU,1700746875.9787674,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,5.0,3
1236,996,b'00003',NRCellCU,1700746875.9787674,2.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,4.0,3
1237,999,b'00007',NRCellCU,1700746876.0289347,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,2.0,3
1238,1000,b'00007',NRCellCU,1700746876.0289347,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1239,1001,b'00007',NRCellCU,1700746876.0289347,1.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,3
1240,1016,b'00004',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,46.0,2.0,3
1241,1017,b'00004',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1242,1018,b'00004',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1243,1019,b'00006',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,2.0,3
1244,1020,b'00006',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1245,1021,b'00006',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1246,1022,b'00002',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,3.0,3
1247,1023,b'00002',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,2.0,3
1248,1024,b'00002',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,3
1249,1025,b'00008',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,4.0,3
1250,1026,b'00008',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,2.0,3
1251,1027,b'00008',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,3.0,3
1252,1028,b'00010',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,4.0,3
1253,1029,b'00010',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,3.0,3
1254,1030,b'00010',NRCellCU,1700746904.3599205,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,2.0,3
1255,1036,b'00006',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,5.0,3
1256,1037,b'00006',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,3
1257,1038,b'00006',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1258,1039,b'00005',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,3
1259,1040,b'00005',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,19.0,5.0,3
1260,1041,b'00005',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,3
1261,1042,b'00011',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,5.0,3
1262,1043,b'00011',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,3.0,3
1263,1044,b'00011',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,3
1264,1045,b'00012',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,3.0,3
1265,1046,b'00012',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,5.0,3
1266,1047,b'00012',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,8.0,4.0,3
1267,1048,b'00009',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,43.0,3.0,3
1268,1049,b'00009',NRCellCU,1700746904.4388957,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,4.0,3
