,PLMN ID,UE ID,Cell object ID,Timestamp,UE Performance Measurement type,QCI,DL PRB usage,UL PRB usage,DL total available PRBs,UL total available PRBs,NRCI,UE Performance Measurement value,Test ID
39,b'111',b'00004',1112,81.06442284584045,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',547.0,1
40,b'111',b'00003',1112,81.06442284584045,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',324.0,1
41,b'111',b'00011',1112,81.06442284584045,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',1261.0,1
42,b'111',b'00009',1112,81.06442284584045,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',779.0,1
43,b'111',b'00012',1112,81.06442284584045,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',222.0,1
44,b'111',b'00007',1112,81.06442284584045,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',1179.0,1
45,b'111',b'00006',1112,81.06442284584045,DRB.UEThpDl.UEID,-1.0,80.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',698.0,1
46,b'111',b'00002',1115,105.28189849853516,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xb6\xf0',6982.0,1
47,b'111',b'00001',1115,105.28189849853516,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xb6\xf0',1453.0,1
48,b'111',b'00010',1115,105.28189849853516,DRB.UEThpDl.UEID,-1.0,84.0,0.0,139.0,139.0,b'80\x00\xb6\xf0',14440.0,1
49,b'111',b'00006',1112,105.38292169570923,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',575.0,1
50,b'111',b'00004',1112,105.38292169570923,DRB.UEThpDl.UEID,-1.0,83.0,0.0,139.0,139.0,b'32\x00\xb6\xf0',512.0,1
