,DRB QCI,DL PCDP Bytes,UL PDCP Bytes,PLMN ID,Interface type,UE ID,Timestamp,Test ID
0,0.0,0.0,0.0,b'111',x2-u,b'00001',0.0,1
1,0.0,0.0,0.0,b'111',x2-u,b'00002',0.0,1
2,0.0,0.0,0.0,b'111',x2-u,b'00012',0.0,1
3,0.0,0.0,0.0,b'111',x2-u,b'00010',0.0,1
4,0.0,0.0,0.0,b'111',x2-u,b'00003',0.0,1
5,0.0,0.0,0.0,b'111',x2-u,b'00003',0.10942745208740234,1
6,0.0,0.0,0.0,b'111',x2-u,b'00005',0.10942745208740234,1
7,0.0,0.0,0.0,b'111',x2-u,b'00004',0.17495226860046387,1
8,0.0,0.0,0.0,b'111',x2-u,b'00006',0.17495226860046387,1
9,0.0,0.0,0.0,b'111',x2-u,b'00007',0.17495226860046387,1
10,0.0,0.0,0.0,b'111',x2-u,b'00011',0.17495226860046387,1
11,0.0,0.0,0.0,b'111',x2-u,b'00009',0.17495226860046387,1
12,0.0,0.0,0.0,b'111',x2-u,b'00002',24.343743324279785,1
13,0.0,0.0,0.0,b'111',x2-u,b'00003',24.343743324279785,1
14,0.0,0.0,0.0,b'111',x2-u,b'00012',24.343743324279785,1
15,0.0,0.0,0.0,b'111',x2-u,b'00001',24.343743324279785,1
16,0.0,0.0,0.0,b'111',x2-u,b'00010',24.343743324279785,1
17,0.0,0.0,0.0,b'111',x2-u,b'00006',24.35255742073059,1
18,0.0,0.0,0.0,b'111',x2-u,b'00007',24.35255742073059,1
19,0.0,0.0,0.0,b'111',x2-u,b'00009',24.35255742073059,1
20,0.0,0.0,0.0,b'111',x2-u,b'00004',24.35255742073059,1
21,0.0,0.0,0.0,b'111',x2-u,b'00011',24.35255742073059,1
22,0.0,0.0,0.0,b'111',x2-u,b'00005',24.35255742073059,1
23,0.0,0.0,0.0,b'111',x2-u,b'00010',52.65724444389343,1
24,0.0,0.0,0.0,b'111',x2-u,b'00003',52.65724444389343,1
25,0.0,0.0,0.0,b'111',x2-u,b'00001',52.65724444389343,1
26,0.0,0.0,0.0,b'111',x2-u,b'00002',52.65724444389343,1
27,0.0,0.0,0.0,b'111',x2-u,b'00007',52.66594696044922,1
28,0.0,0.0,0.0,b'111',x2-u,b'00011',52.66594696044922,1
29,0.0,0.0,0.0,b'111',x2-u,b'00005',52.66594696044922,1
30,0.0,0.0,0.0,b'111',x2-u,b'00012',52.66594696044922,1
31,0.0,0.0,0.0,b'111',x2-u,b'00006',52.66594696044922,1
32,0.0,0.0,0.0,b'111',x2-u,b'00009',52.66594696044922,1
33,0.0,0.0,0.0,b'111',x2-u,b'00004',52.66594696044922,1
34,0.0,0.0,0.0,b'111',x2-u,b'00003',80.9547963142395,1
35,0.0,0.0,0.0,b'111',x2-u,b'00001',80.9547963142395,1
36,0.0,0.0,0.0,b'111',x2-u,b'00002',80.9547963142395,1
37,0.0,0.0,0.0,b'111',x2-u,b'00010',80.9547963142395,1
38,0.0,0.0,0.0,b'111',x2-u,b'00003',80.9648802280426,1
39,0.0,0.0,0.0,b'111',x2-u,b'00007',80.9648802280426,1
40,0.0,0.0,0.0,b'111',x2-u,b'00005',80.9648802280426,1
41,0.0,0.0,0.0,b'111',x2-u,b'00011',80.9648802280426,1
42,0.0,0.0,0.0,b'111',x2-u,b'00012',80.9648802280426,1
43,0.0,0.0,0.0,b'111',x2-u,b'00006',80.9648802280426,1
44,0.0,0.0,0.0,b'111',x2-u,b'00009',80.9648802280426,1
45,0.0,0.0,0.0,b'111',x2-u,b'00004',80.9648802280426,1
46,0.0,0.0,0.0,b'111',x2-u,b'00001',105.28622603416443,1
47,0.0,0.0,0.0,b'111',x2-u,b'00002',105.28622603416443,1
48,0.0,0.0,0.0,b'111',x2-u,b'00010',105.28622603416443,1
49,0.0,0.0,0.0,b'111',x2-u,b'00007',105.29656720161438,1
50,0.0,0.0,0.0,b'111',x2-u,b'00006',105.29656720161438,1
51,0.0,0.0,0.0,b'111',x2-u,b'00005',105.29656720161438,1
52,0.0,0.0,0.0,b'111',x2-u,b'00004',105.29656720161438,1
53,0.0,0.0,0.0,b'111',x2-u,b'00012',105.29656720161438,1
54,0.0,0.0,0.0,b'111',x2-u,b'00009',105.29656720161438,1
55,0.0,0.0,0.0,b'111',x2-u,b'00003',105.29656720161438,1
56,0.0,0.0,0.0,b'111',x2-u,b'00011',105.29656720161438,1
57,0.0,0.0,0.0,b'111',x2-u,b'00001',133.63575792312622,1
58,0.0,0.0,0.0,b'111',x2-u,b'00002',133.63575792312622,1
59,0.0,0.0,0.0,b'111',x2-u,b'00012',133.63575792312622,1
60,0.0,0.0,0.0,b'111',x2-u,b'00010',133.63575792312622,1
61,0.0,0.0,0.0,b'111',x2-u,b'00012',133.64603734016418,1
62,0.0,0.0,0.0,b'111',x2-u,b'00011',133.64603734016418,1
63,0.0,0.0,0.0,b'111',x2-u,b'00009',133.64603734016418,1
64,0.0,0.0,0.0,b'111',x2-u,b'00003',133.64603734016418,1
65,0.0,0.0,0.0,b'111',x2-u,b'00004',133.64603734016418,1
66,0.0,0.0,0.0,b'111',x2-u,b'00006',133.64603734016418,1
67,0.0,0.0,0.0,b'111',x2-u,b'00005',133.64603734016418,1
68,0.0,0.0,0.0,b'111',x2-u,b'00007',133.64603734016418,1
69,0.0,0.0,0.0,b'111',x2-u,b'00012',162.00742602348328,1
70,0.0,0.0,0.0,b'111',x2-u,b'00001',162.01790356636047,1
71,0.0,0.0,0.0,b'111',x2-u,b'00010',162.01790356636047,1
72,0.0,0.0,0.0,b'111',x2-u,b'00002',162.01790356636047,1
73,0.0,0.0,0.0,b'111',x2-u,b'00007',162.02889943122864,1
74,0.0,0.0,0.0,b'111',x2-u,b'00012',162.02889943122864,1
75,0.0,0.0,0.0,b'111',x2-u,b'00005',162.02889943122864,1
76,0.0,0.0,0.0,b'111',x2-u,b'00006',162.02889943122864,1
77,0.0,0.0,0.0,b'111',x2-u,b'00011',162.02889943122864,1
78,0.0,0.0,0.0,b'111',x2-u,b'00003',162.02889943122864,1
79,0.0,0.0,0.0,b'111',x2-u,b'00004',162.02889943122864,1
80,0.0,0.0,0.0,b'111',x2-u,b'00009',162.02889943122864,1
81,0.0,0.0,0.0,b'111',x2-u,b'00003',186.37058353424072,1
82,0.0,0.0,0.0,b'111',x2-u,b'00010',186.37058353424072,1
83,0.0,0.0,0.0,b'111',x2-u,b'00001',186.37058353424072,1
84,0.0,0.0,0.0,b'111',x2-u,b'00002',186.37058353424072,1
85,0.0,0.0,0.0,b'111',x2-u,b'00009',186.38185906410217,1
86,0.0,0.0,0.0,b'111',x2-u,b'00007',186.38185906410217,1
87,0.0,0.0,0.0,b'111',x2-u,b'00004',186.38185906410217,1
88,0.0,0.0,0.0,b'111',x2-u,b'00005',186.38185906410217,1
89,0.0,0.0,0.0,b'111',x2-u,b'00012',186.38185906410217,1
90,0.0,0.0,0.0,b'111',x2-u,b'00011',186.38185906410217,1
91,0.0,0.0,0.0,b'111',x2-u,b'00001',186.38185906410217,1
92,0.0,0.0,0.0,b'111',x2-u,b'00006',186.38185906410217,1
93,0.0,0.0,0.0,b'111',x2-u,b'00005',214.7534146308899,1
94,0.0,0.0,0.0,b'111',x2-u,b'00003',214.76695656776428,1
95,0.0,0.0,0.0,b'111',x2-u,b'00002',214.76695656776428,1
96,0.0,0.0,0.0,b'111',x2-u,b'00001',214.76695656776428,1
97,0.0,0.0,0.0,b'111',x2-u,b'00010',214.76695656776428,1
98,0.0,0.0,0.0,b'111',x2-u,b'00007',214.78050422668457,1
99,0.0,0.0,0.0,b'111',x2-u,b'00010',214.78050422668457,1
100,0.0,0.0,0.0,b'111',x2-u,b'00009',214.78050422668457,1
101,0.0,0.0,0.0,b'111',x2-u,b'00004',214.78050422668457,1
102,0.0,0.0,0.0,b'111',x2-u,b'00006',214.78050422668457,1
103,0.0,0.0,0.0,b'111',x2-u,b'00012',214.78050422668457,1
104,0.0,0.0,0.0,b'111',x2-u,b'00011',214.78050422668457,1
105,0.0,0.0,0.0,b'111',x2-u,b'00003',214.78050422668457,1
106,0.0,0.0,0.0,b'111',x2-u,b'00001',239.15285730361938,1
107,0.0,0.0,0.0,b'111',x2-u,b'00005',239.15285730361938,1
108,0.0,0.0,0.0,b'111',x2-u,b'00002',239.16460156440735,1
109,0.0,0.0,0.0,b'111',x2-u,b'00004',239.16460156440735,1
110,0.0,0.0,0.0,b'111',x2-u,b'00012',239.1772699356079,1
111,0.0,0.0,0.0,b'111',x2-u,b'00007',239.1772699356079,1
112,0.0,0.0,0.0,b'111',x2-u,b'00006',239.1772699356079,1
113,0.0,0.0,0.0,b'111',x2-u,b'00010',239.1772699356079,1
114,0.0,0.0,0.0,b'111',x2-u,b'00009',239.1772699356079,1
115,0.0,0.0,0.0,b'111',x2-u,b'00011',239.1772699356079,1
116,0.0,0.0,0.0,b'111',x2-u,b'00003',239.1772699356079,1
117,0.0,0.0,0.0,b'111',x2-u,b'00007',263.5470576286316,1
118,0.0,0.0,0.0,b'111',x2-u,b'00010',263.5593914985657,1
119,0.0,0.0,0.0,b'111',x2-u,b'00005',263.5593914985657,1
120,0.0,0.0,0.0,b'111',x2-u,b'00001',263.5593914985657,1
121,0.0,0.0,0.0,b'111',x2-u,b'00004',263.5711340904236,1
