,UE ID,Cell object ID,Timestamp,Number of active UEs,RRC Event,UE Performance Measurement type,Neighbor cells SINR,Neighbor cell physical cell ID,Test ID
43,b'00006',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
44,b'00006',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
45,b'00006',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,5.0,4
46,b'00009',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
47,b'00009',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,3.0,4
48,b'00009',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,30.0,4.0,4
49,b'00005',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
50,b'00007',NRCellCU,1700747108.2626717,6.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
51,b'00010',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,4.0,4
52,b'00001',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,10.0,4.0,4
53,b'00002',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,4
54,b'00010',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
55,b'00010',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,2.0,4
56,b'00002',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,8.0,2.0,4
57,b'00001',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,2.0,4
58,b'00001',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
59,b'00002',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,3.0,4
60,b'00003',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,46.0,2.0,4
61,b'00003',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,3.0,4
62,b'00003',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
63,b'00012',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,40.0,2.0,4
64,b'00012',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
65,b'00012',NRCellCU,1700747108.332834,5.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
66,b'00009',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
67,b'00011',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,3.0,4
68,b'00011',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,5.0,4
69,b'00011',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,4
70,b'00004',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,49.0,5.0,4
71,b'00012',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,42.0,5.0,4
72,b'00006',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
73,b'00006',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,5.0,4
74,b'00004',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,7.0,4.0,4
75,b'00004',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
76,b'00007',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,62.0,4.0,4
77,b'00007',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
78,b'00006',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
79,b'00005',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
80,b'00009',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,4.0,4
81,b'00007',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
82,b'00005',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,5.0,4
83,b'00005',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,3.0,4
84,b'00012',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
85,b'00012',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,3.0,4
86,b'00009',NRCellCU,1700747132.5850704,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,17.0,3.0,4
87,b'00010',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,4.0,4
88,b'00010',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
89,b'00010',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,22.0,2.0,4
90,b'00001',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,19.0,2.0,4
91,b'00001',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
92,b'00002',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
93,b'00002',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,13.0,2.0,4
94,b'00002',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,26.0,3.0,4
95,b'00003',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,4
96,b'00003',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,32.0,3.0,4
97,b'00003',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,2.0,4
98,b'00001',NRCellCU,1700747132.658616,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
99,b'00005',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
100,b'00006',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
101,b'00006',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
102,b'00009',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
103,b'00011',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
104,b'00012',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,5.0,4
105,b'00012',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,31.0,3.0,4
106,b'00011',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,5.0,4
107,b'00012',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
108,b'00007',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,4.0,4
109,b'00007',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
110,b'00007',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
111,b'00011',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,3.0,4
112,b'00006',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,11.0,5.0,4
113,b'00004',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,58.0,5.0,4
114,b'00004',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
115,b'00004',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
116,b'00009',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
117,b'00009',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,3.0,4
118,b'00005',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,27.0,3.0,4
119,b'00005',NRCellCU,1700747160.913707,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,20.0,5.0,4
120,b'00002',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
121,b'00002',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,2.0,4
122,b'00002',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,4.0,4
123,b'00010',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,4.0,4
124,b'00001',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,2.0,4
125,b'00001',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
126,b'00001',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,5.0,4.0,4
127,b'00010',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,12.0,2.0,4
128,b'00010',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
129,b'00003',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,49.0,2.0,4
130,b'00003',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,34.0,3.0,4
131,b'00003',NRCellCU,1700747160.9725423,4.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
132,b'00011',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,16.0,5.0,4
133,b'00011',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,32.0,3.0,4
134,b'00004',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,55.0,5.0,4
135,b'00012',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
136,b'00007',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
137,b'00009',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
138,b'00009',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,3.0,4
139,b'00005',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,29.0,3.0,4
140,b'00005',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,5.0,4
141,b'00005',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
142,b'00012',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
143,b'00007',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,4.0,4
144,b'00004',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
145,b'00004',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
146,b'00009',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
147,b'00007',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
148,b'00011',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,2.0,4.0,4
149,b'00006',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
150,b'00006',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
151,b'00012',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,37.0,5.0,4
152,b'00003',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,1.0,4.0,4
153,b'00006',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,15.0,5.0,4
154,b'00003',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,39.0,3.0,4
155,b'00003',NRCellCU,1700747189.2446485,8.0,b1,HO.TrgtCellQual.RS-SINR.UEID,47.0,5.0,4
156,b'00001',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,35.0,3.0,4
157,b'00010',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,6.0,2.0,4
158,b'00001',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,25.0,2.0,4
159,b'00002',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,3.0,4.0,4
160,b'00010',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,28.0,4.0,4
161,b'00002',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,14.0,2.0,4
162,b'00001',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
163,b'00002',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,36.0,3.0,4
164,b'00010',NRCellCU,1700747189.2965984,3.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
165,b'00005',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,24.0,3.0,4
166,b'00005',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,5.0,4
167,b'00005',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
168,b'00006',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,9.0,5.0,4
169,b'00004',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,4.0,4.0,4
170,b'00004',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
171,b'00009',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,23.0,3.0,4
172,b'00009',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,21.0,4.0,4
173,b'00003',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,48.0,5.0,4
174,b'00003',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,44.0,3.0,4
175,b'00003',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
176,b'00011',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,3.0,4
177,b'00011',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
178,b'00011',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,18.0,5.0,4
179,b'00007',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,38.0,4.0,4
180,b'00009',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,5.0,4
181,b'00007',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
182,b'00006',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,3.0,4
183,b'00006',NRCellCU,1700747217.590258,7.0,b1,HO.TrgtCellQual.RS-SINR.UEID,0.0,4.0,4
